01102;Naissances;Naissances entre 1975 et 1982;1975;1982;34
01103;Naissances;Naissances entre 1975 et 1982;1975;1982;44
01104;Naissances;Naissances entre 1975 et 1982;1975;1982;26
01105;Naissances;Naissances entre 1975 et 1982;1975;1982;51
01106;Naissances;Naissances entre 1975 et 1982;1975;1982;5
01107;Naissances;Naissances entre 1975 et 1982;1975;1982;7
01108;Naissances;Naissances entre 1975 et 1982;1975;1982;90
01109;Naissances;Naissances entre 1975 et 1982;1975;1982;82
01110;Naissances;Naissances entre 1975 et 1982;1975;1982;5
01111;Naissances;Naissances entre 1975 et 1982;1975;1982;4
01112;Naissances;Naissances entre 1975 et 1982;1975;1982;10
01113;Naissances;Naissances entre 1975 et 1982;1975;1982;55
01114;Naissances;Naissances entre 1975 et 1982;1975;1982;12
01115;Naissances;Naissances entre 1975 et 1982;1975;1982;56
01116;Naissances;Naissances entre 1975 et 1982;1975;1982;31
01117;Naissances;Naissances entre 1975 et 1982;1975;1982;1
01118;Naissances;Naissances entre 1975 et 1982;1975;1982;38
01121;Naissances;Naissances entre 1975 et 1982;1975;1982;4
01123;Naissances;Naissances entre 1975 et 1982;1975;1982;51
01124;Naissances;Naissances entre 1975 et 1982;1975;1982;24
01125;Naissances;Naissances entre 1975 et 1982;1975;1982;35
01127;Naissances;Naissances entre 1975 et 1982;1975;1982;18
01128;Naissances;Naissances entre 1975 et 1982;1975;1982;6
01129;Naissances;Naissances entre 1975 et 1982;1975;1982;6
01130;Naissances;Naissances entre 1975 et 1982;1975;1982;79
01133;Naissances;Naissances entre 1975 et 1982;1975;1982;11
01134;Naissances;Naissances entre 1975 et 1982;1975;1982;68
01135;Naissances;Naissances entre 1975 et 1982;1975;1982;32
01136;Naissances;Naissances entre 1975 et 1982;1975;1982;47
01138;Naissances;Naissances entre 1975 et 1982;1975;1982;256
01139;Naissances;Naissances entre 1975 et 1982;1975;1982;27
01140;Naissances;Naissances entre 1975 et 1982;1975;1982;27
01141;Naissances;Naissances entre 1975 et 1982;1975;1982;16
01142;Naissances;Naissances entre 1975 et 1982;1975;1982;186
01143;Naissances;Naissances entre 1975 et 1982;1975;1982;338
01145;Naissances;Naissances entre 1975 et 1982;1975;1982;50
01146;Naissances;Naissances entre 1975 et 1982;1975;1982;16
01147;Naissances;Naissances entre 1975 et 1982;1975;1982;30
01148;Naissances;Naissances entre 1975 et 1982;1975;1982;166
01149;Naissances;Naissances entre 1975 et 1982;1975;1982;52
01150;Naissances;Naissances entre 1975 et 1982;1975;1982;9
01151;Naissances;Naissances entre 1975 et 1982;1975;1982;37
01152;Naissances;Naissances entre 1975 et 1982;1975;1982;34
01153;Naissances;Naissances entre 1975 et 1982;1975;1982;27
01155;Naissances;Naissances entre 1975 et 1982;1975;1982;4
01156;Naissances;Naissances entre 1975 et 1982;1975;1982;25
01157;Naissances;Naissances entre 1975 et 1982;1975;1982;94
01158;Naissances;Naissances entre 1975 et 1982;1975;1982;30
01159;Naissances;Naissances entre 1975 et 1982;1975;1982;246
