CODGEO;indicator;category;startyear;endyear;NAISD14
01001;Naissances;Naissances domiciliées en 2014;2014;;8
01002;Naissances;Naissances domiciliées en 2014;2014;;3
01004;Naissances;Naissances domiciliées en 2014;2014;;238
01005;Naissances;Naissances domiciliées en 2014;2014;;17
01006;Naissances;Naissances domiciliées en 2014;2014;;1
01007;Naissances;Naissances domiciliées en 2014;2014;;34
01008;Naissances;Naissances domiciliées en 2014;2014;;10
01009;Naissances;Naissances domiciliées en 2014;2014;;3
01010;Naissances;Naissances domiciliées en 2014;2014;;10
01011;Naissances;Naissances domiciliées en 2014;2014;;3
01012;Naissances;Naissances domiciliées en 2014;2014;;4
01013;Naissances;Naissances domiciliées en 2014;2014;;2
01014;Naissances;Naissances domiciliées en 2014;2014;;28
01015;Naissances;Naissances domiciliées en 2014;2014;;8
01016;Naissances;Naissances domiciliées en 2014;2014;;7
01017;Naissances;Naissances domiciliées en 2014;2014;;4
01019;Naissances;Naissances domiciliées en 2014;2014;;0
01021;Naissances;Naissances domiciliées en 2014;2014;;18
01022;Naissances;Naissances domiciliées en 2014;2014;;13
01023;Naissances;Naissances domiciliées en 2014;2014;;2
01024;Naissances;Naissances domiciliées en 2014;2014;;39
01025;Naissances;Naissances domiciliées en 2014;2014;;46
01026;Naissances;Naissances domiciliées en 2014;2014;;15
01027;Naissances;Naissances domiciliées en 2014;2014;;34
01028;Naissances;Naissances domiciliées en 2014;2014;;7
01029;Naissances;Naissances domiciliées en 2014;2014;;4
01030;Naissances;Naissances domiciliées en 2014;2014;;14
01031;Naissances;Naissances domiciliées en 2014;2014;;55
01032;Naissances;Naissances domiciliées en 2014;2014;;65
01033;Naissances;Naissances domiciliées en 2014;2014;;217
01034;Naissances;Naissances domiciliées en 2014;2014;;120
01035;Naissances;Naissances domiciliées en 2014;2014;;4
01036;Naissances;Naissances domiciliées en 2014;2014;;7
01037;Naissances;Naissances domiciliées en 2014;2014;;6
01038;Naissances;Naissances domiciliées en 2014;2014;;9
01039;Naissances;Naissances domiciliées en 2014;2014;;5
01040;Naissances;Naissances domiciliées en 2014;2014;;5
01041;Naissances;Naissances domiciliées en 2014;2014;;15
01042;Naissances;Naissances domiciliées en 2014;2014;;1
01043;Naissances;Naissances domiciliées en 2014;2014;;39
01044;Naissances;Naissances domiciliées en 2014;2014;;7
01045;Naissances;Naissances domiciliées en 2014;2014;;6
01046;Naissances;Naissances domiciliées en 2014;2014;;12
01047;Naissances;Naissances domiciliées en 2014;2014;;19
01049;Naissances;Naissances domiciliées en 2014;2014;;30
01050;Naissances;Naissances domiciliées en 2014;2014;;3
01051;Naissances;Naissances domiciliées en 2014;2014;;3
01052;Naissances;Naissances domiciliées en 2014;2014;;3
01053;Naissances;Naissances domiciliées en 2014;2014;;546
01054;Naissances;Naissances domiciliées en 2014;2014;;24
01056;Naissances;Naissances domiciliées en 2014;2014;;6
01057;Naissances;Naissances domiciliées en 2014;2014;;2
01058;Naissances;Naissances domiciliées en 2014;2014;;6
01060;Naissances;Naissances domiciliées en 2014;2014;;4
01061;Naissances;Naissances domiciliées en 2014;2014;;17
01062;Naissances;Naissances domiciliées en 2014;2014;;13
01063;Naissances;Naissances domiciliées en 2014;2014;;4
01064;Naissances;Naissances domiciliées en 2014;2014;;8
01065;Naissances;Naissances domiciliées en 2014;2014;;21
01066;Naissances;Naissances domiciliées en 2014;2014;;2
01067;Naissances;Naissances domiciliées en 2014;2014;;3
01068;Naissances;Naissances domiciliées en 2014;2014;;5
01069;Naissances;Naissances domiciliées en 2014;2014;;14
01071;Naissances;Naissances domiciliées en 2014;2014;;53
01072;Naissances;Naissances domiciliées en 2014;2014;;34
01073;Naissances;Naissances domiciliées en 2014;2014;;13
01074;Naissances;Naissances domiciliées en 2014;2014;;26
01075;Naissances;Naissances domiciliées en 2014;2014;;19
01076;Naissances;Naissances domiciliées en 2014;2014;;1
01077;Naissances;Naissances domiciliées en 2014;2014;;2
01078;Naissances;Naissances domiciliées en 2014;2014;;17
01079;Naissances;Naissances domiciliées en 2014;2014;;6
01080;Naissances;Naissances domiciliées en 2014;2014;;6
01081;Naissances;Naissances domiciliées en 2014;2014;;10
01082;Naissances;Naissances domiciliées en 2014;2014;;4
01083;Naissances;Naissances domiciliées en 2014;2014;;10
01084;Naissances;Naissances domiciliées en 2014;2014;;9
01085;Naissances;Naissances domiciliées en 2014;2014;;3
01087;Naissances;Naissances domiciliées en 2014;2014;;1
01088;Naissances;Naissances domiciliées en 2014;2014;;6
01089;Naissances;Naissances domiciliées en 2014;2014;;29
01090;Naissances;Naissances domiciliées en 2014;2014;;3
01092;Naissances;Naissances domiciliées en 2014;2014;;13
01093;Naissances;Naissances domiciliées en 2014;2014;;51
01094;Naissances;Naissances domiciliées en 2014;2014;;9
01095;Naissances;Naissances domiciliées en 2014;2014;;13
01096;Naissances;Naissances domiciliées en 2014;2014;;16
01098;Naissances;Naissances domiciliées en 2014;2014;;13
01099;Naissances;Naissances domiciliées en 2014;2014;;18
01100;Naissances;Naissances domiciliées en 2014;2014;;0
01101;Naissances;Naissances domiciliées en 2014;2014;;4
01102;Naissances;Naissances domiciliées en 2014;2014;;13
01103;Naissances;Naissances domiciliées en 2014;2014;;14
01104;Naissances;Naissances domiciliées en 2014;2014;;5
01105;Naissances;Naissances domiciliées en 2014;2014;;12
01106;Naissances;Naissances domiciliées en 2014;2014;;1
01107;Naissances;Naissances domiciliées en 2014;2014;;0
01108;Naissances;Naissances domiciliées en 2014;2014;;9
01109;Naissances;Naissances domiciliées en 2014;2014;;18
01110;Naissances;Naissances domiciliées en 2014;2014;;1
01111;Naissances;Naissances domiciliées en 2014;2014;;2
01112;Naissances;Naissances domiciliées en 2014;2014;;6
01113;Naissances;Naissances domiciliées en 2014;2014;;6
01114;Naissances;Naissances domiciliées en 2014;2014;;8
01115;Naissances;Naissances domiciliées en 2014;2014;;29
01116;Naissances;Naissances domiciliées en 2014;2014;;6
01117;Naissances;Naissances domiciliées en 2014;2014;;3
01118;Naissances;Naissances domiciliées en 2014;2014;;9
01121;Naissances;Naissances domiciliées en 2014;2014;;0
01123;Naissances;Naissances domiciliées en 2014;2014;;12
01124;Naissances;Naissances domiciliées en 2014;2014;;9
01125;Naissances;Naissances domiciliées en 2014;2014;;6
01127;Naissances;Naissances domiciliées en 2014;2014;;6
01128;Naissances;Naissances domiciliées en 2014;2014;;4
01129;Naissances;Naissances domiciliées en 2014;2014;;1
01130;Naissances;Naissances domiciliées en 2014;2014;;31
01133;Naissances;Naissances domiciliées en 2014;2014;;5
01134;Naissances;Naissances domiciliées en 2014;2014;;19
01135;Naissances;Naissances domiciliées en 2014;2014;;10
01136;Naissances;Naissances domiciliées en 2014;2014;;6
01138;Naissances;Naissances domiciliées en 2014;2014;;32
01139;Naissances;Naissances domiciliées en 2014;2014;;6
01140;Naissances;Naissances domiciliées en 2014;2014;;12
01141;Naissances;Naissances domiciliées en 2014;2014;;3
01142;Naissances;Naissances domiciliées en 2014;2014;;72
01143;Naissances;Naissances domiciliées en 2014;2014;;84
01145;Naissances;Naissances domiciliées en 2014;2014;;10
01146;Naissances;Naissances domiciliées en 2014;2014;;5
01147;Naissances;Naissances domiciliées en 2014;2014;;5
01148;Naissances;Naissances domiciliées en 2014;2014;;16
01149;Naissances;Naissances domiciliées en 2014;2014;;11
01150;Naissances;Naissances domiciliées en 2014;2014;;2
01151;Naissances;Naissances domiciliées en 2014;2014;;9
01152;Naissances;Naissances domiciliées en 2014;2014;;7
01153;Naissances;Naissances domiciliées en 2014;2014;;12
01155;Naissances;Naissances domiciliées en 2014;2014;;0
01156;Naissances;Naissances domiciliées en 2014;2014;;4
01157;Naissances;Naissances domiciliées en 2014;2014;;21
01158;Naissances;Naissances domiciliées en 2014;2014;;4
01159;Naissances;Naissances domiciliées en 2014;2014;;37
01160;Naissances;Naissances domiciliées en 2014;2014;;98
01162;Naissances;Naissances domiciliées en 2014;2014;;0
01163;Naissances;Naissances domiciliées en 2014;2014;;23
01165;Naissances;Naissances domiciliées en 2014;2014;;17
01166;Naissances;Naissances domiciliées en 2014;2014;;29
01167;Naissances;Naissances domiciliées en 2014;2014;;6
01169;Naissances;Naissances domiciliées en 2014;2014;;5
01170;Naissances;Naissances domiciliées en 2014;2014;;13
01171;Naissances;Naissances domiciliées en 2014;2014;;8
01173;Naissances;Naissances domiciliées en 2014;2014;;156
01174;Naissances;Naissances domiciliées en 2014;2014;;1
01175;Naissances;Naissances domiciliées en 2014;2014;;10
01177;Naissances;Naissances domiciliées en 2014;2014;;1
01179;Naissances;Naissances domiciliées en 2014;2014;;27
01180;Naissances;Naissances domiciliées en 2014;2014;;4
01181;Naissances;Naissances domiciliées en 2014;2014;;13
01183;Naissances;Naissances domiciliées en 2014;2014;;16
01184;Naissances;Naissances domiciliées en 2014;2014;;5
01185;Naissances;Naissances domiciliées en 2014;2014;;42
01187;Naissances;Naissances domiciliées en 2014;2014;;10
01188;Naissances;Naissances domiciliées en 2014;2014;;7
01189;Naissances;Naissances domiciliées en 2014;2014;;16
01190;Naissances;Naissances domiciliées en 2014;2014;;0
01191;Naissances;Naissances domiciliées en 2014;2014;;5
01192;Naissances;Naissances domiciliées en 2014;2014;;24
01193;Naissances;Naissances domiciliées en 2014;2014;;0
01194;Naissances;Naissances domiciliées en 2014;2014;;60
01195;Naissances;Naissances domiciliées en 2014;2014;;26
01196;Naissances;Naissances domiciliées en 2014;2014;;23
01197;Naissances;Naissances domiciliées en 2014;2014;;4
01198;Naissances;Naissances domiciliées en 2014;2014;;6
01199;Naissances;Naissances domiciliées en 2014;2014;;23
01200;Naissances;Naissances domiciliées en 2014;2014;;0
01202;Naissances;Naissances domiciliées en 2014;2014;;88
01203;Naissances;Naissances domiciliées en 2014;2014;;11
01204;Naissances;Naissances domiciliées en 2014;2014;;4
01206;Naissances;Naissances domiciliées en 2014;2014;;2
01207;Naissances;Naissances domiciliées en 2014;2014;;8
01208;Naissances;Naissances domiciliées en 2014;2014;;0
01209;Naissances;Naissances domiciliées en 2014;2014;;13
01210;Naissances;Naissances domiciliées en 2014;2014;;1
01211;Naissances;Naissances domiciliées en 2014;2014;;14
01212;Naissances;Naissances domiciliées en 2014;2014;;9
01213;Naissances;Naissances domiciliées en 2014;2014;;20
01214;Naissances;Naissances domiciliées en 2014;2014;;3
01215;Naissances;Naissances domiciliées en 2014;2014;;1
01216;Naissances;Naissances domiciliées en 2014;2014;;4
01219;Naissances;Naissances domiciliées en 2014;2014;;1
01224;Naissances;Naissances domiciliées en 2014;2014;;57
01225;Naissances;Naissances domiciliées en 2014;2014;;6
01227;Naissances;Naissances domiciliées en 2014;2014;;6
01228;Naissances;Naissances domiciliées en 2014;2014;;7
01229;Naissances;Naissances domiciliées en 2014;2014;;18
