CODGEO;indicator;category;startyear;endyear;NAISD21
01001;Naissances;Naissances domiciliées en 2021;2021;;12
01002;Naissances;Naissances domiciliées en 2021;2021;;1
01004;Naissances;Naissances domiciliées en 2021;2021;;215
01005;Naissances;Naissances domiciliées en 2021;2021;;41
01006;Naissances;Naissances domiciliées en 2021;2021;;1
01007;Naissances;Naissances domiciliées en 2021;2021;;31
01008;Naissances;Naissances domiciliées en 2021;2021;;9
01009;Naissances;Naissances domiciliées en 2021;2021;;6
01010;Naissances;Naissances domiciliées en 2021;2021;;14
01011;Naissances;Naissances domiciliées en 2021;2021;;5
01012;Naissances;Naissances domiciliées en 2021;2021;;1
01013;Naissances;Naissances domiciliées en 2021;2021;;0
01014;Naissances;Naissances domiciliées en 2021;2021;;31
01015;Naissances;Naissances domiciliées en 2021;2021;;5
01016;Naissances;Naissances domiciliées en 2021;2021;;3
01017;Naissances;Naissances domiciliées en 2021;2021;;5
01019;Naissances;Naissances domiciliées en 2021;2021;;0
01021;Naissances;Naissances domiciliées en 2021;2021;;18
01022;Naissances;Naissances domiciliées en 2021;2021;;3
01023;Naissances;Naissances domiciliées en 2021;2021;;0
01024;Naissances;Naissances domiciliées en 2021;2021;;32
01025;Naissances;Naissances domiciliées en 2021;2021;;49
01026;Naissances;Naissances domiciliées en 2021;2021;;10
01027;Naissances;Naissances domiciliées en 2021;2021;;32
01028;Naissances;Naissances domiciliées en 2021;2021;;9
01029;Naissances;Naissances domiciliées en 2021;2021;;4
01030;Naissances;Naissances domiciliées en 2021;2021;;18
01031;Naissances;Naissances domiciliées en 2021;2021;;43
01032;Naissances;Naissances domiciliées en 2021;2021;;50
01033;Naissances;Naissances domiciliées en 2021;2021;;229
01034;Naissances;Naissances domiciliées en 2021;2021;;84
01035;Naissances;Naissances domiciliées en 2021;2021;;3
01036;Naissances;Naissances domiciliées en 2021;2021;;10
01037;Naissances;Naissances domiciliées en 2021;2021;;4
01038;Naissances;Naissances domiciliées en 2021;2021;;10
01039;Naissances;Naissances domiciliées en 2021;2021;;5
01040;Naissances;Naissances domiciliées en 2021;2021;;7
01041;Naissances;Naissances domiciliées en 2021;2021;;9
01042;Naissances;Naissances domiciliées en 2021;2021;;1
01043;Naissances;Naissances domiciliées en 2021;2021;;45
01044;Naissances;Naissances domiciliées en 2021;2021;;6
01045;Naissances;Naissances domiciliées en 2021;2021;;5
01046;Naissances;Naissances domiciliées en 2021;2021;;8
01047;Naissances;Naissances domiciliées en 2021;2021;;14
01049;Naissances;Naissances domiciliées en 2021;2021;;30
01050;Naissances;Naissances domiciliées en 2021;2021;;5
01051;Naissances;Naissances domiciliées en 2021;2021;;1
01052;Naissances;Naissances domiciliées en 2021;2021;;3
01053;Naissances;Naissances domiciliées en 2021;2021;;418
01054;Naissances;Naissances domiciliées en 2021;2021;;36
01056;Naissances;Naissances domiciliées en 2021;2021;;3
01057;Naissances;Naissances domiciliées en 2021;2021;;4
01058;Naissances;Naissances domiciliées en 2021;2021;;11
01060;Naissances;Naissances domiciliées en 2021;2021;;3
01061;Naissances;Naissances domiciliées en 2021;2021;;10
01062;Naissances;Naissances domiciliées en 2021;2021;;14
01063;Naissances;Naissances domiciliées en 2021;2021;;5
01064;Naissances;Naissances domiciliées en 2021;2021;;14
01065;Naissances;Naissances domiciliées en 2021;2021;;29
01066;Naissances;Naissances domiciliées en 2021;2021;;0
01067;Naissances;Naissances domiciliées en 2021;2021;;1
01068;Naissances;Naissances domiciliées en 2021;2021;;5
01069;Naissances;Naissances domiciliées en 2021;2021;;15
01071;Naissances;Naissances domiciliées en 2021;2021;;60
01072;Naissances;Naissances domiciliées en 2021;2021;;33
01073;Naissances;Naissances domiciliées en 2021;2021;;8
01074;Naissances;Naissances domiciliées en 2021;2021;;28
01075;Naissances;Naissances domiciliées en 2021;2021;;25
01076;Naissances;Naissances domiciliées en 2021;2021;;0
01077;Naissances;Naissances domiciliées en 2021;2021;;4
01078;Naissances;Naissances domiciliées en 2021;2021;;13
01079;Naissances;Naissances domiciliées en 2021;2021;;3
01080;Naissances;Naissances domiciliées en 2021;2021;;4
01081;Naissances;Naissances domiciliées en 2021;2021;;11
01082;Naissances;Naissances domiciliées en 2021;2021;;2
01083;Naissances;Naissances domiciliées en 2021;2021;;13
01084;Naissances;Naissances domiciliées en 2021;2021;;14
01085;Naissances;Naissances domiciliées en 2021;2021;;3
01087;Naissances;Naissances domiciliées en 2021;2021;;2
01088;Naissances;Naissances domiciliées en 2021;2021;;13
01089;Naissances;Naissances domiciliées en 2021;2021;;25
01090;Naissances;Naissances domiciliées en 2021;2021;;3
01092;Naissances;Naissances domiciliées en 2021;2021;;20
01093;Naissances;Naissances domiciliées en 2021;2021;;40
01094;Naissances;Naissances domiciliées en 2021;2021;;6
01095;Naissances;Naissances domiciliées en 2021;2021;;8
01096;Naissances;Naissances domiciliées en 2021;2021;;14
01098;Naissances;Naissances domiciliées en 2021;2021;;17
01099;Naissances;Naissances domiciliées en 2021;2021;;13
01100;Naissances;Naissances domiciliées en 2021;2021;;1
01101;Naissances;Naissances domiciliées en 2021;2021;;2
01102;Naissances;Naissances domiciliées en 2021;2021;;13
01103;Naissances;Naissances domiciliées en 2021;2021;;18
01104;Naissances;Naissances domiciliées en 2021;2021;;5
01105;Naissances;Naissances domiciliées en 2021;2021;;22
01106;Naissances;Naissances domiciliées en 2021;2021;;0
01107;Naissances;Naissances domiciliées en 2021;2021;;3
01108;Naissances;Naissances domiciliées en 2021;2021;;10
01109;Naissances;Naissances domiciliées en 2021;2021;;26
01110;Naissances;Naissances domiciliées en 2021;2021;;2
01111;Naissances;Naissances domiciliées en 2021;2021;;0
01112;Naissances;Naissances domiciliées en 2021;2021;;5
01113;Naissances;Naissances domiciliées en 2021;2021;;10
01114;Naissances;Naissances domiciliées en 2021;2021;;8
01115;Naissances;Naissances domiciliées en 2021;2021;;21
01116;Naissances;Naissances domiciliées en 2021;2021;;3
01117;Naissances;Naissances domiciliées en 2021;2021;;1
01118;Naissances;Naissances domiciliées en 2021;2021;;19
01121;Naissances;Naissances domiciliées en 2021;2021;;1
01123;Naissances;Naissances domiciliées en 2021;2021;;9
01124;Naissances;Naissances domiciliées en 2021;2021;;9
01125;Naissances;Naissances domiciliées en 2021;2021;;2
01127;Naissances;Naissances domiciliées en 2021;2021;;3
01128;Naissances;Naissances domiciliées en 2021;2021;;1
01129;Naissances;Naissances domiciliées en 2021;2021;;5
01130;Naissances;Naissances domiciliées en 2021;2021;;26
01133;Naissances;Naissances domiciliées en 2021;2021;;3
01134;Naissances;Naissances domiciliées en 2021;2021;;22
01135;Naissances;Naissances domiciliées en 2021;2021;;13
01136;Naissances;Naissances domiciliées en 2021;2021;;16
01138;Naissances;Naissances domiciliées en 2021;2021;;29
01139;Naissances;Naissances domiciliées en 2021;2021;;2
01140;Naissances;Naissances domiciliées en 2021;2021;;16
01141;Naissances;Naissances domiciliées en 2021;2021;;1
01142;Naissances;Naissances domiciliées en 2021;2021;;68
01143;Naissances;Naissances domiciliées en 2021;2021;;86
01145;Naissances;Naissances domiciliées en 2021;2021;;16
01146;Naissances;Naissances domiciliées en 2021;2021;;3
01147;Naissances;Naissances domiciliées en 2021;2021;;13
01148;Naissances;Naissances domiciliées en 2021;2021;;16
01149;Naissances;Naissances domiciliées en 2021;2021;;10
01150;Naissances;Naissances domiciliées en 2021;2021;;4
01151;Naissances;Naissances domiciliées en 2021;2021;;21
01152;Naissances;Naissances domiciliées en 2021;2021;;7
01153;Naissances;Naissances domiciliées en 2021;2021;;22
01155;Naissances;Naissances domiciliées en 2021;2021;;1
01156;Naissances;Naissances domiciliées en 2021;2021;;11
01157;Naissances;Naissances domiciliées en 2021;2021;;31
01158;Naissances;Naissances domiciliées en 2021;2021;;9
01159;Naissances;Naissances domiciliées en 2021;2021;;33
01160;Naissances;Naissances domiciliées en 2021;2021;;108
01162;Naissances;Naissances domiciliées en 2021;2021;;1
01163;Naissances;Naissances domiciliées en 2021;2021;;32
01165;Naissances;Naissances domiciliées en 2021;2021;;11
01166;Naissances;Naissances domiciliées en 2021;2021;;24
01167;Naissances;Naissances domiciliées en 2021;2021;;7
01169;Naissances;Naissances domiciliées en 2021;2021;;12
01170;Naissances;Naissances domiciliées en 2021;2021;;13
01171;Naissances;Naissances domiciliées en 2021;2021;;10
01173;Naissances;Naissances domiciliées en 2021;2021;;160
01174;Naissances;Naissances domiciliées en 2021;2021;;1
01175;Naissances;Naissances domiciliées en 2021;2021;;4
