CODGEO;indicator;category;startyear;endyear;NAISD16
01128;Naissances;Naissances domiciliées en 2016;2016;;2
01129;Naissances;Naissances domiciliées en 2016;2016;;10
01130;Naissances;Naissances domiciliées en 2016;2016;;26
01133;Naissances;Naissances domiciliées en 2016;2016;;5
01134;Naissances;Naissances domiciliées en 2016;2016;;18
01135;Naissances;Naissances domiciliées en 2016;2016;;24
01136;Naissances;Naissances domiciliées en 2016;2016;;5
01138;Naissances;Naissances domiciliées en 2016;2016;;53
01139;Naissances;Naissances domiciliées en 2016;2016;;6
01140;Naissances;Naissances domiciliées en 2016;2016;;7
01141;Naissances;Naissances domiciliées en 2016;2016;;2
01142;Naissances;Naissances domiciliées en 2016;2016;;76
01143;Naissances;Naissances domiciliées en 2016;2016;;104
01145;Naissances;Naissances domiciliées en 2016;2016;;13
01146;Naissances;Naissances domiciliées en 2016;2016;;3
01147;Naissances;Naissances domiciliées en 2016;2016;;6
01148;Naissances;Naissances domiciliées en 2016;2016;;18
01149;Naissances;Naissances domiciliées en 2016;2016;;13
01150;Naissances;Naissances domiciliées en 2016;2016;;1
01151;Naissances;Naissances domiciliées en 2016;2016;;8
01152;Naissances;Naissances domiciliées en 2016;2016;;6
01153;Naissances;Naissances domiciliées en 2016;2016;;16
01155;Naissances;Naissances domiciliées en 2016;2016;;1
01156;Naissances;Naissances domiciliées en 2016;2016;;6
01157;Naissances;Naissances domiciliées en 2016;2016;;18
01158;Naissances;Naissances domiciliées en 2016;2016;;8
01159;Naissances;Naissances domiciliées en 2016;2016;;44
01160;Naissances;Naissances domiciliées en 2016;2016;;83
01162;Naissances;Naissances domiciliées en 2016;2016;;1
01163;Naissances;Naissances domiciliées en 2016;2016;;24
01165;Naissances;Naissances domiciliées en 2016;2016;;18
01166;Naissances;Naissances domiciliées en 2016;2016;;37
01167;Naissances;Naissances domiciliées en 2016;2016;;2
01169;Naissances;Naissances domiciliées en 2016;2016;;5
01170;Naissances;Naissances domiciliées en 2016;2016;;8
01171;Naissances;Naissances domiciliées en 2016;2016;;2
01173;Naissances;Naissances domiciliées en 2016;2016;;209
01174;Naissances;Naissances domiciliées en 2016;2016;;2
01175;Naissances;Naissances domiciliées en 2016;2016;;9
