CODGEO;indicator;category;startyear;endyear;NAISD19
01001;Naissances;Naissances domiciliées en 2019;2019;;4
01002;Naissances;Naissances domiciliées en 2019;2019;;1
01004;Naissances;Naissances domiciliées en 2019;2019;;220
01005;Naissances;Naissances domiciliées en 2019;2019;;22
01006;Naissances;Naissances domiciliées en 2019;2019;;1
01007;Naissances;Naissances domiciliées en 2019;2019;;32
01008;Naissances;Naissances domiciliées en 2019;2019;;7
01009;Naissances;Naissances domiciliées en 2019;2019;;3
01010;Naissances;Naissances domiciliées en 2019;2019;;14
01011;Naissances;Naissances domiciliées en 2019;2019;;0
01012;Naissances;Naissances domiciliées en 2019;2019;;3
01013;Naissances;Naissances domiciliées en 2019;2019;;0
01014;Naissances;Naissances domiciliées en 2019;2019;;30
01015;Naissances;Naissances domiciliées en 2019;2019;;6
01016;Naissances;Naissances domiciliées en 2019;2019;;3
01017;Naissances;Naissances domiciliées en 2019;2019;;6
01019;Naissances;Naissances domiciliées en 2019;2019;;0
01021;Naissances;Naissances domiciliées en 2019;2019;;15
01022;Naissances;Naissances domiciliées en 2019;2019;;6
01023;Naissances;Naissances domiciliées en 2019;2019;;1
01024;Naissances;Naissances domiciliées en 2019;2019;;35
01025;Naissances;Naissances domiciliées en 2019;2019;;50
01026;Naissances;Naissances domiciliées en 2019;2019;;14
01027;Naissances;Naissances domiciliées en 2019;2019;;26
01028;Naissances;Naissances domiciliées en 2019;2019;;9
01029;Naissances;Naissances domiciliées en 2019;2019;;3
01030;Naissances;Naissances domiciliées en 2019;2019;;11
01031;Naissances;Naissances domiciliées en 2019;2019;;30
01032;Naissances;Naissances domiciliées en 2019;2019;;47
01033;Naissances;Naissances domiciliées en 2019;2019;;213
01034;Naissances;Naissances domiciliées en 2019;2019;;85
01035;Naissances;Naissances domiciliées en 2019;2019;;3
01036;Naissances;Naissances domiciliées en 2019;2019;;8
01037;Naissances;Naissances domiciliées en 2019;2019;;0
01038;Naissances;Naissances domiciliées en 2019;2019;;6
