CODGEO;indicator;category;startyear;endyear;NAISD18
01001;Naissances;Naissances domiciliées en 2018;2018;;10
01002;Naissances;Naissances domiciliées en 2018;2018;;1
01004;Naissances;Naissances domiciliées en 2018;2018;;229
01005;Naissances;Naissances domiciliées en 2018;2018;;21
01006;Naissances;Naissances domiciliées en 2018;2018;;0
01007;Naissances;Naissances domiciliées en 2018;2018;;33
01008;Naissances;Naissances domiciliées en 2018;2018;;6
01009;Naissances;Naissances domiciliées en 2018;2018;;2
01010;Naissances;Naissances domiciliées en 2018;2018;;8
01011;Naissances;Naissances domiciliées en 2018;2018;;8
01012;Naissances;Naissances domiciliées en 2018;2018;;3
01013;Naissances;Naissances domiciliées en 2018;2018;;1
01014;Naissances;Naissances domiciliées en 2018;2018;;39
01015;Naissances;Naissances domiciliées en 2018;2018;;7
01016;Naissances;Naissances domiciliées en 2018;2018;;5
01017;Naissances;Naissances domiciliées en 2018;2018;;3
01019;Naissances;Naissances domiciliées en 2018;2018;;0
01021;Naissances;Naissances domiciliées en 2018;2018;;21
01022;Naissances;Naissances domiciliées en 2018;2018;;3
01023;Naissances;Naissances domiciliées en 2018;2018;;1
01024;Naissances;Naissances domiciliées en 2018;2018;;38
01025;Naissances;Naissances domiciliées en 2018;2018;;41
01026;Naissances;Naissances domiciliées en 2018;2018;;14
01027;Naissances;Naissances domiciliées en 2018;2018;;28
01028;Naissances;Naissances domiciliées en 2018;2018;;6
01029;Naissances;Naissances domiciliées en 2018;2018;;2
01030;Naissances;Naissances domiciliées en 2018;2018;;9
01031;Naissances;Naissances domiciliées en 2018;2018;;46
01032;Naissances;Naissances domiciliées en 2018;2018;;32
01033;Naissances;Naissances domiciliées en 2018;2018;;199
01034;Naissances;Naissances domiciliées en 2018;2018;;93
01035;Naissances;Naissances domiciliées en 2018;2018;;2
01036;Naissances;Naissances domiciliées en 2018;2018;;10
01037;Naissances;Naissances domiciliées en 2018;2018;;4
01038;Naissances;Naissances domiciliées en 2018;2018;;8
01039;Naissances;Naissances domiciliées en 2018;2018;;5
01040;Naissances;Naissances domiciliées en 2018;2018;;5
01041;Naissances;Naissances domiciliées en 2018;2018;;12
01042;Naissances;Naissances domiciliées en 2018;2018;;2
01043;Naissances;Naissances domiciliées en 2018;2018;;39
01044;Naissances;Naissances domiciliées en 2018;2018;;5
01045;Naissances;Naissances domiciliées en 2018;2018;;2
01046;Naissances;Naissances domiciliées en 2018;2018;;9
01047;Naissances;Naissances domiciliées en 2018;2018;;21
01049;Naissances;Naissances domiciliées en 2018;2018;;32
01050;Naissances;Naissances domiciliées en 2018;2018;;3
01051;Naissances;Naissances domiciliées en 2018;2018;;1
01052;Naissances;Naissances domiciliées en 2018;2018;;1
01053;Naissances;Naissances domiciliées en 2018;2018;;495
01054;Naissances;Naissances domiciliées en 2018;2018;;17
01056;Naissances;Naissances domiciliées en 2018;2018;;3
01057;Naissances;Naissances domiciliées en 2018;2018;;3
01058;Naissances;Naissances domiciliées en 2018;2018;;9
01060;Naissances;Naissances domiciliées en 2018;2018;;6
01061;Naissances;Naissances domiciliées en 2018;2018;;9
01062;Naissances;Naissances domiciliées en 2018;2018;;14
01063;Naissances;Naissances domiciliées en 2018;2018;;3
01064;Naissances;Naissances domiciliées en 2018;2018;;12
01065;Naissances;Naissances domiciliées en 2018;2018;;18
01066;Naissances;Naissances domiciliées en 2018;2018;;0
01067;Naissances;Naissances domiciliées en 2018;2018;;0
01068;Naissances;Naissances domiciliées en 2018;2018;;5
01069;Naissances;Naissances domiciliées en 2018;2018;;21
01071;Naissances;Naissances domiciliées en 2018;2018;;48
01072;Naissances;Naissances domiciliées en 2018;2018;;31
01073;Naissances;Naissances domiciliées en 2018;2018;;7
01074;Naissances;Naissances domiciliées en 2018;2018;;31
01075;Naissances;Naissances domiciliées en 2018;2018;;17
01076;Naissances;Naissances domiciliées en 2018;2018;;1
01077;Naissances;Naissances domiciliées en 2018;2018;;5
01078;Naissances;Naissances domiciliées en 2018;2018;;10
01079;Naissances;Naissances domiciliées en 2018;2018;;5
01080;Naissances;Naissances domiciliées en 2018;2018;;3
01081;Naissances;Naissances domiciliées en 2018;2018;;7
01082;Naissances;Naissances domiciliées en 2018;2018;;6
01083;Naissances;Naissances domiciliées en 2018;2018;;15
01084;Naissances;Naissances domiciliées en 2018;2018;;19
01085;Naissances;Naissances domiciliées en 2018;2018;;3
01087;Naissances;Naissances domiciliées en 2018;2018;;3
01088;Naissances;Naissances domiciliées en 2018;2018;;10
01089;Naissances;Naissances domiciliées en 2018;2018;;33
01090;Naissances;Naissances domiciliées en 2018;2018;;3
01092;Naissances;Naissances domiciliées en 2018;2018;;21
01093;Naissances;Naissances domiciliées en 2018;2018;;46
01094;Naissances;Naissances domiciliées en 2018;2018;;6
01095;Naissances;Naissances domiciliées en 2018;2018;;8
01096;Naissances;Naissances domiciliées en 2018;2018;;10
01098;Naissances;Naissances domiciliées en 2018;2018;;18
01099;Naissances;Naissances domiciliées en 2018;2018;;13
01100;Naissances;Naissances domiciliées en 2018;2018;;1
01101;Naissances;Naissances domiciliées en 2018;2018;;4
01102;Naissances;Naissances domiciliées en 2018;2018;;7
01103;Naissances;Naissances domiciliées en 2018;2018;;27
01104;Naissances;Naissances domiciliées en 2018;2018;;2
01105;Naissances;Naissances domiciliées en 2018;2018;;26
01106;Naissances;Naissances domiciliées en 2018;2018;;2
01107;Naissances;Naissances domiciliées en 2018;2018;;2
01108;Naissances;Naissances domiciliées en 2018;2018;;6
01109;Naissances;Naissances domiciliées en 2018;2018;;26
01110;Naissances;Naissances domiciliées en 2018;2018;;4
01111;Naissances;Naissances domiciliées en 2018;2018;;1
01112;Naissances;Naissances domiciliées en 2018;2018;;2
01113;Naissances;Naissances domiciliées en 2018;2018;;10
01114;Naissances;Naissances domiciliées en 2018;2018;;9
01115;Naissances;Naissances domiciliées en 2018;2018;;17
01116;Naissances;Naissances domiciliées en 2018;2018;;4
01117;Naissances;Naissances domiciliées en 2018;2018;;2
01118;Naissances;Naissances domiciliées en 2018;2018;;10
01121;Naissances;Naissances domiciliées en 2018;2018;;1
01123;Naissances;Naissances domiciliées en 2018;2018;;10
01124;Naissances;Naissances domiciliées en 2018;2018;;7
01125;Naissances;Naissances domiciliées en 2018;2018;;7
01127;Naissances;Naissances domiciliées en 2018;2018;;1
01128;Naissances;Naissances domiciliées en 2018;2018;;2
01129;Naissances;Naissances domiciliées en 2018;2018;;3
01130;Naissances;Naissances domiciliées en 2018;2018;;30
01133;Naissances;Naissances domiciliées en 2018;2018;;2
01134;Naissances;Naissances domiciliées en 2018;2018;;11
01135;Naissances;Naissances domiciliées en 2018;2018;;14
01136;Naissances;Naissances domiciliées en 2018;2018;;10
01138;Naissances;Naissances domiciliées en 2018;2018;;48
01139;Naissances;Naissances domiciliées en 2018;2018;;7
01140;Naissances;Naissances domiciliées en 2018;2018;;6
01141;Naissances;Naissances domiciliées en 2018;2018;;4
01142;Naissances;Naissances domiciliées en 2018;2018;;69
01143;Naissances;Naissances domiciliées en 2018;2018;;94
01145;Naissances;Naissances domiciliées en 2018;2018;;14
01146;Naissances;Naissances domiciliées en 2018;2018;;1
01147;Naissances;Naissances domiciliées en 2018;2018;;6
01148;Naissances;Naissances domiciliées en 2018;2018;;21
01149;Naissances;Naissances domiciliées en 2018;2018;;8
01150;Naissances;Naissances domiciliées en 2018;2018;;3
01151;Naissances;Naissances domiciliées en 2018;2018;;11
01152;Naissances;Naissances domiciliées en 2018;2018;;9
01153;Naissances;Naissances domiciliées en 2018;2018;;22
01155;Naissances;Naissances domiciliées en 2018;2018;;2
01156;Naissances;Naissances domiciliées en 2018;2018;;10
01157;Naissances;Naissances domiciliées en 2018;2018;;14
01158;Naissances;Naissances domiciliées en 2018;2018;;8
01159;Naissances;Naissances domiciliées en 2018;2018;;44
01160;Naissances;Naissances domiciliées en 2018;2018;;100
01162;Naissances;Naissances domiciliées en 2018;2018;;0
01163;Naissances;Naissances domiciliées en 2018;2018;;14
01165;Naissances;Naissances domiciliées en 2018;2018;;18
01166;Naissances;Naissances domiciliées en 2018;2018;;24
01167;Naissances;Naissances domiciliées en 2018;2018;;7
01169;Naissances;Naissances domiciliées en 2018;2018;;6
01170;Naissances;Naissances domiciliées en 2018;2018;;10
01171;Naissances;Naissances domiciliées en 2018;2018;;12
01173;Naissances;Naissances domiciliées en 2018;2018;;213
01174;Naissances;Naissances domiciliées en 2018;2018;;1
01175;Naissances;Naissances domiciliées en 2018;2018;;6
01177;Naissances;Naissances domiciliées en 2018;2018;;1
01179;Naissances;Naissances domiciliées en 2018;2018;;12
01180;Naissances;Naissances domiciliées en 2018;2018;;6
01181;Naissances;Naissances domiciliées en 2018;2018;;6
01183;Naissances;Naissances domiciliées en 2018;2018;;13
01184;Naissances;Naissances domiciliées en 2018;2018;;5
01185;Naissances;Naissances domiciliées en 2018;2018;;37
01187;Naissances;Naissances domiciliées en 2018;2018;;6
01188;Naissances;Naissances domiciliées en 2018;2018;;7
01189;Naissances;Naissances domiciliées en 2018;2018;;11
01190;Naissances;Naissances domiciliées en 2018;2018;;0
01191;Naissances;Naissances domiciliées en 2018;2018;;2
01192;Naissances;Naissances domiciliées en 2018;2018;;29
01193;Naissances;Naissances domiciliées en 2018;2018;;0
01194;Naissances;Naissances domiciliées en 2018;2018;;76
01195;Naissances;Naissances domiciliées en 2018;2018;;20
01196;Naissances;Naissances domiciliées en 2018;2018;;12
01197;Naissances;Naissances domiciliées en 2018;2018;;7
01198;Naissances;Naissances domiciliées en 2018;2018;;4
01199;Naissances;Naissances domiciliées en 2018;2018;;23
01200;Naissances;Naissances domiciliées en 2018;2018;;0
01202;Naissances;Naissances domiciliées en 2018;2018;;71
01203;Naissances;Naissances domiciliées en 2018;2018;;16
01204;Naissances;Naissances domiciliées en 2018;2018;;5
01206;Naissances;Naissances domiciliées en 2018;2018;;1
01207;Naissances;Naissances domiciliées en 2018;2018;;9
01208;Naissances;Naissances domiciliées en 2018;2018;;0
01209;Naissances;Naissances domiciliées en 2018;2018;;3
01210;Naissances;Naissances domiciliées en 2018;2018;;1
01211;Naissances;Naissances domiciliées en 2018;2018;;15
01212;Naissances;Naissances domiciliées en 2018;2018;;8
01213;Naissances;Naissances domiciliées en 2018;2018;;12
01214;Naissances;Naissances domiciliées en 2018;2018;;2
