CODGEO;indicator;category;startyear;endyear;NAISD15
01001;Naissances;Naissances domiciliées en 2015;2015;;13
01002;Naissances;Naissances domiciliées en 2015;2015;;5
01004;Naissances;Naissances domiciliées en 2015;2015;;222
01005;Naissances;Naissances domiciliées en 2015;2015;;15
01006;Naissances;Naissances domiciliées en 2015;2015;;2
01007;Naissances;Naissances domiciliées en 2015;2015;;21
01008;Naissances;Naissances domiciliées en 2015;2015;;11
01009;Naissances;Naissances domiciliées en 2015;2015;;2
01010;Naissances;Naissances domiciliées en 2015;2015;;18
01011;Naissances;Naissances domiciliées en 2015;2015;;4
01012;Naissances;Naissances domiciliées en 2015;2015;;2
01013;Naissances;Naissances domiciliées en 2015;2015;;3
01014;Naissances;Naissances domiciliées en 2015;2015;;31
01015;Naissances;Naissances domiciliées en 2015;2015;;4
01016;Naissances;Naissances domiciliées en 2015;2015;;7
01017;Naissances;Naissances domiciliées en 2015;2015;;3
01019;Naissances;Naissances domiciliées en 2015;2015;;0
01021;Naissances;Naissances domiciliées en 2015;2015;;12
01022;Naissances;Naissances domiciliées en 2015;2015;;7
01023;Naissances;Naissances domiciliées en 2015;2015;;2
01024;Naissances;Naissances domiciliées en 2015;2015;;38
01025;Naissances;Naissances domiciliées en 2015;2015;;62
01026;Naissances;Naissances domiciliées en 2015;2015;;6
01027;Naissances;Naissances domiciliées en 2015;2015;;25
01028;Naissances;Naissances domiciliées en 2015;2015;;11
01029;Naissances;Naissances domiciliées en 2015;2015;;7
01030;Naissances;Naissances domiciliées en 2015;2015;;8
01031;Naissances;Naissances domiciliées en 2015;2015;;50
01032;Naissances;Naissances domiciliées en 2015;2015;;65
01033;Naissances;Naissances domiciliées en 2015;2015;;233
01034;Naissances;Naissances domiciliées en 2015;2015;;113
01035;Naissances;Naissances domiciliées en 2015;2015;;3
01036;Naissances;Naissances domiciliées en 2015;2015;;12
01037;Naissances;Naissances domiciliées en 2015;2015;;5
01038;Naissances;Naissances domiciliées en 2015;2015;;7
01039;Naissances;Naissances domiciliées en 2015;2015;;5
01040;Naissances;Naissances domiciliées en 2015;2015;;8
01041;Naissances;Naissances domiciliées en 2015;2015;;3
01042;Naissances;Naissances domiciliées en 2015;2015;;4
01043;Naissances;Naissances domiciliées en 2015;2015;;40
01044;Naissances;Naissances domiciliées en 2015;2015;;3
01045;Naissances;Naissances domiciliées en 2015;2015;;2
01046;Naissances;Naissances domiciliées en 2015;2015;;12
01047;Naissances;Naissances domiciliées en 2015;2015;;9
01049;Naissances;Naissances domiciliées en 2015;2015;;33
01050;Naissances;Naissances domiciliées en 2015;2015;;6
01051;Naissances;Naissances domiciliées en 2015;2015;;2
01052;Naissances;Naissances domiciliées en 2015;2015;;2
01053;Naissances;Naissances domiciliées en 2015;2015;;463
01054;Naissances;Naissances domiciliées en 2015;2015;;20
01056;Naissances;Naissances domiciliées en 2015;2015;;3
01057;Naissances;Naissances domiciliées en 2015;2015;;3
01058;Naissances;Naissances domiciliées en 2015;2015;;6
01060;Naissances;Naissances domiciliées en 2015;2015;;5
01061;Naissances;Naissances domiciliées en 2015;2015;;8
01062;Naissances;Naissances domiciliées en 2015;2015;;7
01063;Naissances;Naissances domiciliées en 2015;2015;;5
01064;Naissances;Naissances domiciliées en 2015;2015;;8
01065;Naissances;Naissances domiciliées en 2015;2015;;22
01066;Naissances;Naissances domiciliées en 2015;2015;;0
01067;Naissances;Naissances domiciliées en 2015;2015;;3
01068;Naissances;Naissances domiciliées en 2015;2015;;11
01069;Naissances;Naissances domiciliées en 2015;2015;;16
01071;Naissances;Naissances domiciliées en 2015;2015;;59
01072;Naissances;Naissances domiciliées en 2015;2015;;21
01073;Naissances;Naissances domiciliées en 2015;2015;;6
01074;Naissances;Naissances domiciliées en 2015;2015;;31
01075;Naissances;Naissances domiciliées en 2015;2015;;19
01076;Naissances;Naissances domiciliées en 2015;2015;;2
01077;Naissances;Naissances domiciliées en 2015;2015;;1
01078;Naissances;Naissances domiciliées en 2015;2015;;17
01079;Naissances;Naissances domiciliées en 2015;2015;;6
01080;Naissances;Naissances domiciliées en 2015;2015;;8
01081;Naissances;Naissances domiciliées en 2015;2015;;11
01082;Naissances;Naissances domiciliées en 2015;2015;;9
01083;Naissances;Naissances domiciliées en 2015;2015;;9
01084;Naissances;Naissances domiciliées en 2015;2015;;11
01085;Naissances;Naissances domiciliées en 2015;2015;;7
01087;Naissances;Naissances domiciliées en 2015;2015;;4
01088;Naissances;Naissances domiciliées en 2015;2015;;10
01089;Naissances;Naissances domiciliées en 2015;2015;;25
01090;Naissances;Naissances domiciliées en 2015;2015;;4
01092;Naissances;Naissances domiciliées en 2015;2015;;19
01093;Naissances;Naissances domiciliées en 2015;2015;;32
01094;Naissances;Naissances domiciliées en 2015;2015;;11
01095;Naissances;Naissances domiciliées en 2015;2015;;4
01096;Naissances;Naissances domiciliées en 2015;2015;;10
01098;Naissances;Naissances domiciliées en 2015;2015;;17
01099;Naissances;Naissances domiciliées en 2015;2015;;14
01100;Naissances;Naissances domiciliées en 2015;2015;;2
01101;Naissances;Naissances domiciliées en 2015;2015;;0
01102;Naissances;Naissances domiciliées en 2015;2015;;10
01103;Naissances;Naissances domiciliées en 2015;2015;;15
01104;Naissances;Naissances domiciliées en 2015;2015;;2
01105;Naissances;Naissances domiciliées en 2015;2015;;22
