CODGEO;indicator;category;startyear;endyear;NAISD20
01001;Naissances;Naissances domiciliées en 2020;2020;;10
01002;Naissances;Naissances domiciliées en 2020;2020;;1
01004;Naissances;Naissances domiciliées en 2020;2020;;237
01005;Naissances;Naissances domiciliées en 2020;2020;;21
01006;Naissances;Naissances domiciliées en 2020;2020;;0
01007;Naissances;Naissances domiciliées en 2020;2020;;36
01008;Naissances;Naissances domiciliées en 2020;2020;;10
01009;Naissances;Naissances domiciliées en 2020;2020;;4
01010;Naissances;Naissances domiciliées en 2020;2020;;5
01011;Naissances;Naissances domiciliées en 2020;2020;;5
01012;Naissances;Naissances domiciliées en 2020;2020;;2
01013;Naissances;Naissances domiciliées en 2020;2020;;0
01014;Naissances;Naissances domiciliées en 2020;2020;;28
01015;Naissances;Naissances domiciliées en 2020;2020;;10
01016;Naissances;Naissances domiciliées en 2020;2020;;6
01017;Naissances;Naissances domiciliées en 2020;2020;;4
01019;Naissances;Naissances domiciliées en 2020;2020;;0
01021;Naissances;Naissances domiciliées en 2020;2020;;18
01022;Naissances;Naissances domiciliées en 2020;2020;;8
01023;Naissances;Naissances domiciliées en 2020;2020;;2
01024;Naissances;Naissances domiciliées en 2020;2020;;37
01025;Naissances;Naissances domiciliées en 2020;2020;;29
01026;Naissances;Naissances domiciliées en 2020;2020;;8
01027;Naissances;Naissances domiciliées en 2020;2020;;29
01028;Naissances;Naissances domiciliées en 2020;2020;;4
01029;Naissances;Naissances domiciliées en 2020;2020;;6
01030;Naissances;Naissances domiciliées en 2020;2020;;6
01031;Naissances;Naissances domiciliées en 2020;2020;;30
01032;Naissances;Naissances domiciliées en 2020;2020;;47
01033;Naissances;Naissances domiciliées en 2020;2020;;225
01034;Naissances;Naissances domiciliées en 2020;2020;;87
01035;Naissances;Naissances domiciliées en 2020;2020;;3
01036;Naissances;Naissances domiciliées en 2020;2020;;12
01037;Naissances;Naissances domiciliées en 2020;2020;;4
01038;Naissances;Naissances domiciliées en 2020;2020;;8
01039;Naissances;Naissances domiciliées en 2020;2020;;2
01040;Naissances;Naissances domiciliées en 2020;2020;;4
01041;Naissances;Naissances domiciliées en 2020;2020;;8
01042;Naissances;Naissances domiciliées en 2020;2020;;2
01043;Naissances;Naissances domiciliées en 2020;2020;;58
01044;Naissances;Naissances domiciliées en 2020;2020;;5
01045;Naissances;Naissances domiciliées en 2020;2020;;5
01046;Naissances;Naissances domiciliées en 2020;2020;;8
01047;Naissances;Naissances domiciliées en 2020;2020;;18
01049;Naissances;Naissances domiciliées en 2020;2020;;31
01050;Naissances;Naissances domiciliées en 2020;2020;;4
01051;Naissances;Naissances domiciliées en 2020;2020;;1
01052;Naissances;Naissances domiciliées en 2020;2020;;2
01053;Naissances;Naissances domiciliées en 2020;2020;;446
01054;Naissances;Naissances domiciliées en 2020;2020;;16
01056;Naissances;Naissances domiciliées en 2020;2020;;2
01057;Naissances;Naissances domiciliées en 2020;2020;;6
01058;Naissances;Naissances domiciliées en 2020;2020;;9
01060;Naissances;Naissances domiciliées en 2020;2020;;4
01061;Naissances;Naissances domiciliées en 2020;2020;;10
01062;Naissances;Naissances domiciliées en 2020;2020;;9
01063;Naissances;Naissances domiciliées en 2020;2020;;4
01064;Naissances;Naissances domiciliées en 2020;2020;;16
01065;Naissances;Naissances domiciliées en 2020;2020;;20
01066;Naissances;Naissances domiciliées en 2020;2020;;1
01067;Naissances;Naissances domiciliées en 2020;2020;;3
01068;Naissances;Naissances domiciliées en 2020;2020;;5
01069;Naissances;Naissances domiciliées en 2020;2020;;18
01071;Naissances;Naissances domiciliées en 2020;2020;;48
01072;Naissances;Naissances domiciliées en 2020;2020;;19
01073;Naissances;Naissances domiciliées en 2020;2020;;5
01074;Naissances;Naissances domiciliées en 2020;2020;;31
01075;Naissances;Naissances domiciliées en 2020;2020;;29
01076;Naissances;Naissances domiciliées en 2020;2020;;2
01077;Naissances;Naissances domiciliées en 2020;2020;;3
01078;Naissances;Naissances domiciliées en 2020;2020;;8
01079;Naissances;Naissances domiciliées en 2020;2020;;5
01080;Naissances;Naissances domiciliées en 2020;2020;;2
01081;Naissances;Naissances domiciliées en 2020;2020;;10
01082;Naissances;Naissances domiciliées en 2020;2020;;7
01083;Naissances;Naissances domiciliées en 2020;2020;;7
01084;Naissances;Naissances domiciliées en 2020;2020;;8
01085;Naissances;Naissances domiciliées en 2020;2020;;4
