CODGEO;indicator;category;startyear;endyear;NAISD17
01001;Naissances;Naissances domiciliées en 2017;2017;;8
01002;Naissances;Naissances domiciliées en 2017;2017;;4
01004;Naissances;Naissances domiciliées en 2017;2017;;204
01005;Naissances;Naissances domiciliées en 2017;2017;;18
01006;Naissances;Naissances domiciliées en 2017;2017;;1
01007;Naissances;Naissances domiciliées en 2017;2017;;41
01008;Naissances;Naissances domiciliées en 2017;2017;;3
01009;Naissances;Naissances domiciliées en 2017;2017;;1
01010;Naissances;Naissances domiciliées en 2017;2017;;20
01011;Naissances;Naissances domiciliées en 2017;2017;;4
01012;Naissances;Naissances domiciliées en 2017;2017;;5
01013;Naissances;Naissances domiciliées en 2017;2017;;0
01014;Naissances;Naissances domiciliées en 2017;2017;;30
01015;Naissances;Naissances domiciliées en 2017;2017;;3
01016;Naissances;Naissances domiciliées en 2017;2017;;3
01017;Naissances;Naissances domiciliées en 2017;2017;;2
01019;Naissances;Naissances domiciliées en 2017;2017;;0
01021;Naissances;Naissances domiciliées en 2017;2017;;16
01022;Naissances;Naissances domiciliées en 2017;2017;;9
01023;Naissances;Naissances domiciliées en 2017;2017;;1
01024;Naissances;Naissances domiciliées en 2017;2017;;32
01025;Naissances;Naissances domiciliées en 2017;2017;;39
01026;Naissances;Naissances domiciliées en 2017;2017;;9
01027;Naissances;Naissances domiciliées en 2017;2017;;33
01028;Naissances;Naissances domiciliées en 2017;2017;;6
01029;Naissances;Naissances domiciliées en 2017;2017;;4
01030;Naissances;Naissances domiciliées en 2017;2017;;10
01031;Naissances;Naissances domiciliées en 2017;2017;;35
01032;Naissances;Naissances domiciliées en 2017;2017;;52
01033;Naissances;Naissances domiciliées en 2017;2017;;224
01034;Naissances;Naissances domiciliées en 2017;2017;;94
01035;Naissances;Naissances domiciliées en 2017;2017;;2
01036;Naissances;Naissances domiciliées en 2017;2017;;7
01037;Naissances;Naissances domiciliées en 2017;2017;;5
01038;Naissances;Naissances domiciliées en 2017;2017;;5
01039;Naissances;Naissances domiciliées en 2017;2017;;3
01040;Naissances;Naissances domiciliées en 2017;2017;;6
01041;Naissances;Naissances domiciliées en 2017;2017;;13
01042;Naissances;Naissances domiciliées en 2017;2017;;5
01043;Naissances;Naissances domiciliées en 2017;2017;;34
01044;Naissances;Naissances domiciliées en 2017;2017;;6
01045;Naissances;Naissances domiciliées en 2017;2017;;4
01046;Naissances;Naissances domiciliées en 2017;2017;;7
01047;Naissances;Naissances domiciliées en 2017;2017;;6
01049;Naissances;Naissances domiciliées en 2017;2017;;55
01050;Naissances;Naissances domiciliées en 2017;2017;;5
01051;Naissances;Naissances domiciliées en 2017;2017;;1
01052;Naissances;Naissances domiciliées en 2017;2017;;4
01053;Naissances;Naissances domiciliées en 2017;2017;;503
01054;Naissances;Naissances domiciliées en 2017;2017;;15
01056;Naissances;Naissances domiciliées en 2017;2017;;4
01057;Naissances;Naissances domiciliées en 2017;2017;;5
01058;Naissances;Naissances domiciliées en 2017;2017;;10
01060;Naissances;Naissances domiciliées en 2017;2017;;6
01061;Naissances;Naissances domiciliées en 2017;2017;;10
01062;Naissances;Naissances domiciliées en 2017;2017;;6
01063;Naissances;Naissances domiciliées en 2017;2017;;5
01064;Naissances;Naissances domiciliées en 2017;2017;;10
01065;Naissances;Naissances domiciliées en 2017;2017;;22
01066;Naissances;Naissances domiciliées en 2017;2017;;3
01067;Naissances;Naissances domiciliées en 2017;2017;;4
01068;Naissances;Naissances domiciliées en 2017;2017;;8
01069;Naissances;Naissances domiciliées en 2017;2017;;16
01071;Naissances;Naissances domiciliées en 2017;2017;;68
01072;Naissances;Naissances domiciliées en 2017;2017;;34
01073;Naissances;Naissances domiciliées en 2017;2017;;4
01074;Naissances;Naissances domiciliées en 2017;2017;;26
01075;Naissances;Naissances domiciliées en 2017;2017;;18
01076;Naissances;Naissances domiciliées en 2017;2017;;0
01077;Naissances;Naissances domiciliées en 2017;2017;;2
01078;Naissances;Naissances domiciliées en 2017;2017;;12
01079;Naissances;Naissances domiciliées en 2017;2017;;7
01080;Naissances;Naissances domiciliées en 2017;2017;;4
01081;Naissances;Naissances domiciliées en 2017;2017;;5
01082;Naissances;Naissances domiciliées en 2017;2017;;8
01083;Naissances;Naissances domiciliées en 2017;2017;;4
01084;Naissances;Naissances domiciliées en 2017;2017;;13
01085;Naissances;Naissances domiciliées en 2017;2017;;3
01087;Naissances;Naissances domiciliées en 2017;2017;;4
01088;Naissances;Naissances domiciliées en 2017;2017;;8
01089;Naissances;Naissances domiciliées en 2017;2017;;38
01090;Naissances;Naissances domiciliées en 2017;2017;;2
01092;Naissances;Naissances domiciliées en 2017;2017;;27
01093;Naissances;Naissances domiciliées en 2017;2017;;39
01094;Naissances;Naissances domiciliées en 2017;2017;;5
01095;Naissances;Naissances domiciliées en 2017;2017;;9
01096;Naissances;Naissances domiciliées en 2017;2017;;9
01098;Naissances;Naissances domiciliées en 2017;2017;;8
01099;Naissances;Naissances domiciliées en 2017;2017;;15
01100;Naissances;Naissances domiciliées en 2017;2017;;0
01101;Naissances;Naissances domiciliées en 2017;2017;;2
01102;Naissances;Naissances domiciliées en 2017;2017;;13
01103;Naissances;Naissances domiciliées en 2017;2017;;23
01104;Naissances;Naissances domiciliées en 2017;2017;;4
01105;Naissances;Naissances domiciliées en 2017;2017;;17
01106;Naissances;Naissances domiciliées en 2017;2017;;1
01107;Naissances;Naissances domiciliées en 2017;2017;;2
01108;Naissances;Naissances domiciliées en 2017;2017;;10
01109;Naissances;Naissances domiciliées en 2017;2017;;30
01110;Naissances;Naissances domiciliées en 2017;2017;;2
01111;Naissances;Naissances domiciliées en 2017;2017;;0
01112;Naissances;Naissances domiciliées en 2017;2017;;10
01113;Naissances;Naissances domiciliées en 2017;2017;;10
01114;Naissances;Naissances domiciliées en 2017;2017;;4
01115;Naissances;Naissances domiciliées en 2017;2017;;22
01116;Naissances;Naissances domiciliées en 2017;2017;;4
01117;Naissances;Naissances domiciliées en 2017;2017;;0
01118;Naissances;Naissances domiciliées en 2017;2017;;11
01121;Naissances;Naissances domiciliées en 2017;2017;;2
01123;Naissances;Naissances domiciliées en 2017;2017;;12
01124;Naissances;Naissances domiciliées en 2017;2017;;5
01125;Naissances;Naissances domiciliées en 2017;2017;;4
01127;Naissances;Naissances domiciliées en 2017;2017;;4
01128;Naissances;Naissances domiciliées en 2017;2017;;4
01129;Naissances;Naissances domiciliées en 2017;2017;;1
01130;Naissances;Naissances domiciliées en 2017;2017;;24
